method,run_id,seed,best_val_auc,best_test_auc,final_val_auc,final_test_auc,mean_train_sampling_time,mean_train_epoch_time,mean_eval_time,total_run_time
sgcn,1,0,0.7188729602096423,0.6429450301438054,0.7188729602096423,0.6429450301438054,0.5205756795406341,1.1098115706443787,2.3751809895038605,525.798228263855
sgcn,2,1,0.7027320433745425,0.641165940643976,0.6828086931725771,0.60971190054802,0.5199520254135132,1.106514219045639,2.3982617437839506,525.1314177513123
sgcn,3,2,0.7125509609871968,0.6230174731698732,0.7125509609871968,0.6230174731698732,0.5191569423675537,1.1056894040107728,2.397084367275238,525.4314975738525
