method,run_id,seed,epoch,train_loss,val_auc,test_auc,train_sampling_time,train_epoch_time,eval_time,local_epochs,max_subgraph_pipeline_time,aggregation_time,sgcn_epoch_time_max,subgraph_sampling_times,subgraph_train_times,subgraph_eval_times,subgraph_total_times
sgcn,1,0,1,0.5830684658139944,,,3.303943157196045,0.2698328495025635,,3,0.2665746212005615,0.003258228302001953,0.2698328495025635,"[0.12206387519836426, 0.10405373573303223, 0.10365700721740723, 0.10397624969482422, 0.1036527156829834, 0.1033639907836914, 0.10341620445251465, 0.10333442687988281, 0.10327482223510742, 0.10294771194458008, 0.10258841514587402, 0.10269618034362793, 0.10294079780578613, 0.10272073745727539, 0.10260319709777832, 0.10269451141357422, 0.10266423225402832, 0.10220456123352051, 0.10206389427185059, 0.10214042663574219, 0.10216426849365234, 0.10202693939208984, 0.10878515243530273, 0.10105776786804199, 0.10178089141845703, 0.10155487060546875, 0.10155344009399414, 0.10141944885253906, 0.10137391090393066, 0.1012108325958252, 0.1012120246887207, 0.10074591636657715]","[0.016657114028930664, 0.016304969787597656, 0.015389442443847656, 0.015764951705932617, 0.015496015548706055, 0.015552282333374023, 0.022373199462890625, 0.0157473087310791, 0.015590429306030273, 0.015636920928955078, 0.016199350357055664, 0.015728473663330078, 0.016500473022460938, 0.01641082763671875, 0.01631450653076172, 0.016564130783081055, 0.017124652862548828, 0.017527103424072266, 0.016368865966796875, 0.01645970344543457, 0.016585826873779297, 0.016562223434448242, 0.018131256103515625, 0.016331195831298828, 0.016588687896728516, 0.01713705062866211, 0.02563309669494629, 0.016416072845458984, 0.016955852508544922, 0.01648736000061035, 0.016728878021240234, 0.016705751419067383]","[0.1278536319732666, 0.11210036277770996, 0.11311006546020508, 0.10874748229980469, 0.11385893821716309, 0.11185884475708008, 0.13049530982971191, 0.11295080184936523, 0.11024665832519531, 0.11201715469360352, 0.10954952239990234, 0.11329030990600586, 0.11054611206054688, 0.11275339126586914, 0.11005377769470215, 0.11295437812805176, 0.11343193054199219, 0.11176514625549316, 0.11350774765014648, 0.11143207550048828, 0.11246204376220703, 0.11222624778747559, 0.11804842948913574, 0.11231184005737305, 0.11052179336547852, 0.11601090431213379, 0.13082408905029297, 0.11291837692260742, 0.11028504371643066, 0.11307835578918457, 0.11189842224121094, 0.11401081085205078]","[0.2665746212005615, 0.23245906829833984, 0.23215651512145996, 0.22848868370056152, 0.23300766944885254, 0.2307751178741455, 0.2562847137451172, 0.23203253746032715, 0.229111909866333, 0.23060178756713867, 0.22833728790283203, 0.23171496391296387, 0.22998738288879395, 0.23188495635986328, 0.2289714813232422, 0.23221302032470703, 0.23322081565856934, 0.23149681091308594, 0.23194050788879395, 0.23003220558166504, 0.23121213912963867, 0.23081541061401367, 0.2449648380279541, 0.22970080375671387, 0.22889137268066406, 0.23470282554626465, 0.2580106258392334, 0.23075389862060547, 0.22861480712890625, 0.23077654838562012, 0.22983932495117188, 0.2314624786376953]"
sgcn,1,0,2,0.4076486015692353,,,3.2967677116394043,0.2554898262023926,,3,0.25224733352661133,0.00324249267578125,0.2554898262023926,"[0.1039433479309082, 0.10385727882385254, 0.10370993614196777, 0.10363245010375977, 0.10366272926330566, 0.10353398323059082, 0.1034705638885498, 0.1033775806427002, 0.10732412338256836, 0.10329151153564453, 0.10594391822814941, 0.10372352600097656, 0.10296869277954102, 0.10465645790100098, 0.1044008731842041, 0.10262918472290039, 0.10274982452392578, 0.10251832008361816, 0.10273623466491699, 0.10255026817321777, 0.10463929176330566, 0.10212826728820801, 0.10194253921508789, 0.10159158706665039, 0.10174369812011719, 0.10143256187438965, 0.10143494606018066, 0.1013026237487793, 0.10132002830505371, 0.10124993324279785, 0.1020345687866211, 0.10126686096191406]","[0.017019987106323242, 0.016106128692626953, 0.016881704330444336, 0.01660752296447754, 0.016495704650878906, 0.01654672622680664, 0.016551494598388672, 0.016524314880371094, 0.01650714874267578, 0.016456127166748047, 0.01623678207397461, 0.016201496124267578, 0.016675949096679688, 0.016477108001708984, 0.01652383804321289, 0.01668405532836914, 0.017381906509399414, 0.01676797866821289, 0.016561031341552734, 0.016727447509765625, 0.01657724380493164, 0.017249584197998047, 0.016343116760253906, 0.016273975372314453, 0.016484737396240234, 0.01678180694580078, 0.01758408546447754, 0.01640629768371582, 0.016403913497924805, 0.016302824020385742, 0.021296024322509766, 0.016467571258544922]","[0.11237359046936035, 0.11272287368774414, 0.1166224479675293, 0.11300063133239746, 0.11000275611877441, 0.11303353309631348, 0.11259698867797852, 0.1171712875366211, 0.11217308044433594, 0.1156778335571289, 0.11347484588623047, 0.11383867263793945, 0.1122891902923584, 0.11820101737976074, 0.11203575134277344, 0.11265349388122559, 0.11448431015014648, 0.11295127868652344, 0.11546087265014648, 0.1148829460144043, 0.11316299438476562, 0.11075758934020996, 0.1127316951751709, 0.10925507545471191, 0.11041903495788574, 0.11342358589172363, 0.13256096839904785, 0.11275839805603027, 0.11034083366394043, 0.11302328109741211, 0.12891674041748047, 0.11339282989501953]","[0.2333369255065918, 0.23268628120422363, 0.2372140884399414, 0.23324060440063477, 0.23016119003295898, 0.23311424255371094, 0.232619047164917, 0.23707318305969238, 0.23600435256958008, 0.23542547225952148, 0.2356555461883545, 0.2337636947631836, 0.2319338321685791, 0.2393345832824707, 0.23296046257019043, 0.23196673393249512, 0.23461604118347168, 0.2322375774383545, 0.2347581386566162, 0.2341606616973877, 0.23437952995300293, 0.23013544082641602, 0.2310173511505127, 0.22712063789367676, 0.22864747047424316, 0.23163795471191406, 0.25157999992370605, 0.2304673194885254, 0.22806477546691895, 0.2305760383605957, 0.25224733352661133, 0.23112726211547852]"
sgcn,1,0,3,0.3396026063710451,,,3.299640417098999,0.259662389755249,,3,0.2563612461090088,0.0033011436462402344,0.259662389755249,"[0.10408425331115723, 0.1039729118347168, 0.11483335494995117, 0.10381841659545898, 0.10358262062072754, 0.10359692573547363, 0.1036536693572998, 0.10336995124816895, 0.10315227508544922, 0.10329413414001465, 0.10326004028320312, 0.10308241844177246, 0.10297703742980957, 0.10300254821777344, 0.10311436653137207, 0.10565853118896484, 0.10254836082458496, 0.10268139839172363, 0.10235357284545898, 0.10246729850769043, 0.10209941864013672, 0.10234689712524414, 0.10198545455932617, 0.1019136905670166, 0.10185575485229492, 0.10141324996948242, 0.10206985473632812, 0.10161590576171875, 0.10244560241699219, 0.10125446319580078, 0.10143923759460449, 0.10069680213928223]","[0.01661849021911621, 0.01667046546936035, 0.016844749450683594, 0.01671600341796875, 0.016716957092285156, 0.016559600830078125, 0.016664505004882812, 0.016747236251831055, 0.016619443893432617, 0.016789674758911133, 0.016686439514160156, 0.016322612762451172, 0.01668548583984375, 0.016640424728393555, 0.016630887985229492, 0.01654815673828125, 0.01662158966064453, 0.01639413833618164, 0.016326427459716797, 0.016453266143798828, 0.016892671585083008, 0.016847848892211914, 0.016683578491210938, 0.017067670822143555, 0.016542911529541016, 0.01663994789123535, 0.016503095626831055, 0.01705765724182129, 0.01665353775024414, 0.016910552978515625, 0.01688861846923828, 0.016473054885864258]","[0.11297845840454102, 0.11287665367126465, 0.12468314170837402, 0.11252093315124512, 0.11098861694335938, 0.11228752136230469, 0.11368608474731445, 0.11274218559265137, 0.11159396171569824, 0.11206436157226562, 0.11379456520080566, 0.11020517349243164, 0.11349654197692871, 0.11308026313781738, 0.1092228889465332, 0.11218500137329102, 0.117462158203125, 0.11236190795898438, 0.11217737197875977, 0.11325407028198242, 0.11069464683532715, 0.1128087043762207, 0.11026501655578613, 0.11292362213134766, 0.1107034683227539, 0.11221528053283691, 0.11220097541809082, 0.1123046875, 0.1132965087890625, 0.10966157913208008, 0.1110537052154541, 0.11356449127197266]","[0.23368120193481445, 0.2335200309753418, 0.2563612461090088, 0.23305535316467285, 0.23128819465637207, 0.23244404792785645, 0.23400425910949707, 0.23285937309265137, 0.23136568069458008, 0.2321481704711914, 0.23374104499816895, 0.22961020469665527, 0.23315906524658203, 0.23272323608398438, 0.22896814346313477, 0.2343916893005371, 0.2366321086883545, 0.23143744468688965, 0.23085737228393555, 0.23217463493347168, 0.22968673706054688, 0.23200345039367676, 0.22893404960632324, 0.2319049835205078, 0.22910213470458984, 0.2302684783935547, 0.23077392578125, 0.23097825050354004, 0.23239564895629883, 0.22782659530639648, 0.22938156127929688, 0.23073434829711914]"
sgcn,1,0,4,0.31981906946748495,,,3.2852156162261963,0.2605762481689453,,3,0.2572672367095947,0.003309011459350586,0.2605762481689453,"[0.1039738655090332, 0.10523819923400879, 0.1034400463104248, 0.10383367538452148, 0.10358285903930664, 0.1033487319946289, 0.10342836380004883, 0.10325074195861816, 0.10306286811828613, 0.10318946838378906, 0.10304999351501465, 0.10325074195861816, 0.10282325744628906, 0.10296821594238281, 0.10323715209960938, 0.10261797904968262, 0.10272622108459473, 0.10255718231201172, 0.102569580078125, 0.10239577293395996, 0.10218119621276855, 0.10177731513977051, 0.10223960876464844, 0.10199546813964844, 0.10211491584777832, 0.10163211822509766, 0.10152149200439453, 0.10206103324890137, 0.10144305229187012, 0.10155749320983887, 0.1011807918548584, 0.10096621513366699]","[0.016615629196166992, 0.016320228576660156, 0.01698923110961914, 0.01700758934020996, 0.016063213348388672, 0.01635265350341797, 0.016457557678222656, 0.016549110412597656, 0.01720738410949707, 0.016178369522094727, 0.01660466194152832, 0.01737523078918457, 0.01595783233642578, 0.016249895095825195, 0.0164949893951416, 0.01647019386291504, 0.017031431198120117, 0.016493797302246094, 0.016796350479125977, 0.01662921905517578, 0.016887426376342773, 0.027391433715820312, 0.016872882843017578, 0.01636052131652832, 0.016701221466064453, 0.01642131805419922, 0.01677083969116211, 0.016379594802856445, 0.01641559600830078, 0.016356229782104492, 0.01635265350341797, 0.01621389389038086]","[0.11175131797790527, 0.11232566833496094, 0.11303567886352539, 0.11006951332092285, 0.11268901824951172, 0.11061549186706543, 0.1120612621307373, 0.11295580863952637, 0.10959339141845703, 0.11275792121887207, 0.11046338081359863, 0.11175704002380371, 0.11198759078979492, 0.11061620712280273, 0.11348748207092285, 0.11153364181518555, 0.1129460334777832, 0.11220359802246094, 0.11192560195922852, 0.11174869537353516, 0.11218905448913574, 0.1280984878540039, 0.11323952674865723, 0.11047601699829102, 0.11274433135986328, 0.10889267921447754, 0.1114804744720459, 0.11265301704406738, 0.11109232902526855, 0.11041998863220215, 0.11304473876953125, 0.11173748970031738]","[0.23234081268310547, 0.23388409614562988, 0.23346495628356934, 0.2309107780456543, 0.23233509063720703, 0.2303168773651123, 0.2319471836090088, 0.2327556610107422, 0.22986364364624023, 0.23212575912475586, 0.2301180362701416, 0.23238301277160645, 0.23076868057250977, 0.22983431816101074, 0.23321962356567383, 0.2306218147277832, 0.23270368576049805, 0.23125457763671875, 0.2312915325164795, 0.2307736873626709, 0.23125767707824707, 0.2572672367095947, 0.23235201835632324, 0.22883200645446777, 0.23156046867370605, 0.22694611549377441, 0.22977280616760254, 0.2310936450958252, 0.22895097732543945, 0.2283337116241455, 0.23057818412780762, 0.22891759872436523]"
sgcn,1,0,5,0.31155508384108543,0.6605414442036184,0.5948577453734499,3.287782907485962,0.23988080024719238,3.2491931915283203,3,0.23656487464904785,0.0033159255981445312,0.23988080024719238,"[0.10395169258117676, 0.10390877723693848, 0.10416483879089355, 0.1036379337310791, 0.10384488105773926, 0.10347557067871094, 0.1033930778503418, 0.10345792770385742, 0.10324859619140625, 0.10324645042419434, 0.10290932655334473, 0.10288619995117188, 0.1027076244354248, 0.1033177375793457, 0.10279607772827148, 0.10267138481140137, 0.10311388969421387, 0.10244488716125488, 0.102630615234375, 0.10250163078308105, 0.10259842872619629, 0.10197997093200684, 0.10182523727416992, 0.10188579559326172, 0.10260868072509766, 0.10225176811218262, 0.10213327407836914, 0.10149264335632324, 0.10171318054199219, 0.10198378562927246, 0.10166740417480469, 0.1013336181640625]","[0.01638507843017578, 0.01653766632080078, 0.01639080047607422, 0.016358137130737305, 0.01661515235900879, 0.016028881072998047, 0.016171693801879883, 0.016417503356933594, 0.016344070434570312, 0.016584396362304688, 0.01639246940612793, 0.016518115997314453, 0.016510486602783203, 0.01640033721923828, 0.016206741333007812, 0.015761375427246094, 0.016225814819335938, 0.01703929901123047, 0.016339778900146484, 0.016718626022338867, 0.016573190689086914, 0.01675868034362793, 0.016185283660888672, 0.01644730567932129, 0.01647186279296875, 0.016044139862060547, 0.016338825225830078, 0.016709327697753906, 0.017530202865600586, 0.01677703857421875, 0.016161203384399414, 0.016413450241088867]","[0.11008691787719727, 0.11357808113098145, 0.1104440689086914, 0.11216974258422852, 0.11317992210388184, 0.1099400520324707, 0.1129159927368164, 0.11085844039916992, 0.1122734546661377, 0.11312389373779297, 0.10940146446228027, 0.11278820037841797, 0.10938191413879395, 0.1130228042602539, 0.10931015014648438, 0.10999011993408203, 0.11245298385620117, 0.1170806884765625, 0.11094284057617188, 0.11244750022888184, 0.11088728904724121, 0.11283302307128906, 0.10945963859558105, 0.11120247840881348, 0.11332297325134277, 0.11038541793823242, 0.11284828186035156, 0.11079096794128418, 0.11346578598022461, 0.11084914207458496, 0.11333513259887695, 0.11034131050109863]","[0.2304236888885498, 0.2340245246887207, 0.23099970817565918, 0.23216581344604492, 0.23363995552062988, 0.2294445037841797, 0.23248076438903809, 0.23073387145996094, 0.23186612129211426, 0.232954740524292, 0.22870326042175293, 0.2321925163269043, 0.22860002517700195, 0.2327408790588379, 0.22831296920776367, 0.2284228801727295, 0.23179268836975098, 0.23656487464904785, 0.22991323471069336, 0.23166775703430176, 0.23005890846252441, 0.23157167434692383, 0.22747015953063965, 0.22953557968139648, 0.23240351676940918, 0.22868132591247559, 0.23132038116455078, 0.22899293899536133, 0.23270916938781738, 0.22960996627807617, 0.23116374015808105, 0.22808837890625]"
sgcn,1,0,6,0.3092929730191827,,,3.265293836593628,0.2787058353424072,,3,0.27536821365356445,0.0033376216888427734,0.2787058353424072,"[0.1322329044342041, 0.1018824577331543, 0.1020815372467041, 0.10181689262390137, 0.10304641723632812, 0.10297322273254395, 0.10234928131103516, 0.10161781311035156, 0.1019587516784668, 0.1013650894165039, 0.10126280784606934, 0.1012105941772461, 0.10220146179199219, 0.10240435600280762, 0.1016232967376709, 0.10203003883361816, 0.10093808174133301, 0.10102224349975586, 0.10027313232421875, 0.10037374496459961, 0.10027050971984863, 0.10321879386901855, 0.10254073143005371, 0.1000676155090332, 0.09949159622192383, 0.09984445571899414, 0.09978795051574707, 0.09938931465148926, 0.09893965721130371, 0.09895634651184082, 0.09904956817626953, 0.09907317161560059]","[0.016139745712280273, 0.01615762710571289, 0.016197681427001953, 0.015918493270874023, 0.02763676643371582, 0.01724076271057129, 0.016066312789916992, 0.01611781120300293, 0.01604914665222168, 0.015958070755004883, 0.015914201736450195, 0.015940427780151367, 0.016447782516479492, 0.01694965362548828, 0.016916751861572266, 0.01659107208251953, 0.016730546951293945, 0.0170745849609375, 0.01630687713623047, 0.016143321990966797, 0.016939163208007812, 0.016737699508666992, 0.01691746711730957, 0.016620874404907227, 0.016416311264038086, 0.016741514205932617, 0.01691603660583496, 0.01647162437438965, 0.017035722732543945, 0.01656174659729004, 0.016999244689941406, 0.016558170318603516]","[0.12699556350708008, 0.10655784606933594, 0.10897278785705566, 0.1078031063079834, 0.1256847381591797, 0.11377429962158203, 0.1080470085144043, 0.1072697639465332, 0.1089935302734375, 0.10858607292175293, 0.1085505485534668, 0.1087188720703125, 0.11188316345214844, 0.11013197898864746, 0.11494922637939453, 0.10733985900878906, 0.10813426971435547, 0.10782098770141602, 0.10696291923522949, 0.11022067070007324, 0.10898733139038086, 0.11059308052062988, 0.11372733116149902, 0.11109733581542969, 0.1107797622680664, 0.1108248233795166, 0.1284632682800293, 0.10929012298583984, 0.10916018486022949, 0.11545491218566895, 0.11091303825378418, 0.11101198196411133]","[0.27536821365356445, 0.22459793090820312, 0.22725200653076172, 0.2255384922027588, 0.25636792182922363, 0.23398828506469727, 0.22646260261535645, 0.2250053882598877, 0.22700142860412598, 0.22590923309326172, 0.22572755813598633, 0.22586989402770996, 0.23053240776062012, 0.22948598861694336, 0.2334892749786377, 0.22596096992492676, 0.22580289840698242, 0.22591781616210938, 0.2235429286956787, 0.22673773765563965, 0.2261970043182373, 0.23054957389831543, 0.2331855297088623, 0.22778582572937012, 0.22668766975402832, 0.22741079330444336, 0.24516725540161133, 0.22515106201171875, 0.22513556480407715, 0.2309730052947998, 0.22696185111999512, 0.22664332389831543]"
sgcn,1,0,7,0.3052971586585045,,,3.229621410369873,0.25698351860046387,,3,0.25361061096191406,0.0033729076385498047,0.25698351860046387,"[0.10193419456481934, 0.10188674926757812, 0.10221242904663086, 0.10162901878356934, 0.10166692733764648, 0.10133624076843262, 0.10147333145141602, 0.11008214950561523, 0.10166788101196289, 0.1014559268951416, 0.10095810890197754, 0.10092735290527344, 0.1006019115447998, 0.10077095031738281, 0.10081863403320312, 0.10085535049438477, 0.1007838249206543, 0.1006629467010498, 0.1007225513458252, 0.10061168670654297, 0.10016393661499023, 0.10022139549255371, 0.09999513626098633, 0.10033130645751953, 0.09996414184570312, 0.09977221488952637, 0.09955549240112305, 0.09952116012573242, 0.09963750839233398, 0.09918951988220215, 0.09911584854125977, 0.09909558296203613]","[0.016907215118408203, 0.016353607177734375, 0.016551733016967773, 0.016492128372192383, 0.017015695571899414, 0.016179800033569336, 0.016659975051879883, 0.016724109649658203, 0.016776084899902344, 0.016111373901367188, 0.016248703002929688, 0.016668081283569336, 0.01642465591430664, 0.016555309295654297, 0.016213417053222656, 0.017109155654907227, 0.01679825782775879, 0.01614522933959961, 0.016521453857421875, 0.02632284164428711, 0.016444921493530273, 0.0164334774017334, 0.01626133918762207, 0.016811370849609375, 0.016618728637695312, 0.016552448272705078, 0.016467809677124023, 0.016548871994018555, 0.016849040985107422, 0.0166318416595459, 0.016288280487060547, 0.017090797424316406]","[0.11070394515991211, 0.11016011238098145, 0.10750961303710938, 0.1082601547241211, 0.10866260528564453, 0.11123991012573242, 0.11234903335571289, 0.11329960823059082, 0.11005496978759766, 0.10699272155761719, 0.10785174369812012, 0.10695648193359375, 0.10640120506286621, 0.1099238395690918, 0.1066582202911377, 0.11043858528137207, 0.10695433616638184, 0.10660910606384277, 0.1104576587677002, 0.12667608261108398, 0.11023736000061035, 0.1058492660522461, 0.11206746101379395, 0.10757231712341309, 0.11054086685180664, 0.1081545352935791, 0.10721445083618164, 0.10989856719970703, 0.1103205680847168, 0.11132955551147461, 0.10641264915466309, 0.11107206344604492]","[0.22954535484313965, 0.22840046882629395, 0.226273775100708, 0.2263813018798828, 0.22734522819519043, 0.22875595092773438, 0.2304823398590088, 0.24010586738586426, 0.2284989356994629, 0.22456002235412598, 0.22505855560302734, 0.22455191612243652, 0.22342777252197266, 0.2272500991821289, 0.22369027137756348, 0.22840309143066406, 0.22453641891479492, 0.2234172821044922, 0.22770166397094727, 0.25361061096191406, 0.22684621810913086, 0.2225041389465332, 0.22832393646240234, 0.224714994430542, 0.22712373733520508, 0.22447919845581055, 0.2232377529144287, 0.225968599319458, 0.2268071174621582, 0.22715091705322266, 0.2218167781829834, 0.22725844383239746]"
sgcn,1,0,8,0.30179001949727535,,,3.2398793697357178,0.249558687210083,,3,0.24622201919555664,0.003336668014526367,0.249558687210083,"[0.10232925415039062, 0.10209918022155762, 0.10183453559875488, 0.10173535346984863, 0.10184049606323242, 0.1018059253692627, 0.10154962539672852, 0.1013803482055664, 0.10151529312133789, 0.10118532180786133, 0.10072469711303711, 0.10101580619812012, 0.10099506378173828, 0.10063457489013672, 0.10088253021240234, 0.10051393508911133, 0.10192632675170898, 0.1046900749206543, 0.10162115097045898, 0.10144186019897461, 0.10117602348327637, 0.10155415534973145, 0.10084009170532227, 0.10078883171081543, 0.10068535804748535, 0.1011049747467041, 0.10080265998840332, 0.10068392753601074, 0.10048747062683105, 0.1002187728881836, 0.09978294372558594, 0.10003280639648438]","[0.01678180694580078, 0.016135692596435547, 0.016598224639892578, 0.016788005828857422, 0.0166628360748291, 0.016424894332885742, 0.016618728637695312, 0.01602792739868164, 0.016568899154663086, 0.016522884368896484, 0.016709566116333008, 0.017570018768310547, 0.016488075256347656, 0.016762495040893555, 0.016901493072509766, 0.016292810440063477, 0.018068313598632812, 0.016130447387695312, 0.01631927490234375, 0.016547203063964844, 0.01647019386291504, 0.016416311264038086, 0.0162808895111084, 0.016384124755859375, 0.016580820083618164, 0.016448020935058594, 0.016253232955932617, 0.01677560806274414, 0.016445159912109375, 0.016711711883544922, 0.016350507736206055, 0.01653766632080078]","[0.11163973808288574, 0.10885071754455566, 0.1115577220916748, 0.1102447509765625, 0.10835552215576172, 0.10981178283691406, 0.1108102798461914, 0.11039590835571289, 0.10696554183959961, 0.10716032981872559, 0.10989022254943848, 0.10801148414611816, 0.10840916633605957, 0.10855245590209961, 0.11034893989562988, 0.11172199249267578, 0.10870480537414551, 0.11122441291809082, 0.10994148254394531, 0.10782814025878906, 0.1083066463470459, 0.10993790626525879, 0.11162757873535156, 0.11004066467285156, 0.11000180244445801, 0.12866902351379395, 0.10664033889770508, 0.10970377922058105, 0.10812902450561523, 0.10734057426452637, 0.11038541793823242, 0.11123228073120117]","[0.23075079917907715, 0.22708559036254883, 0.22999048233032227, 0.22876811027526855, 0.22685885429382324, 0.2280426025390625, 0.22897863388061523, 0.22780418395996094, 0.22504973411560059, 0.2248685359954834, 0.2273244857788086, 0.22659730911254883, 0.2258923053741455, 0.22594952583312988, 0.228132963180542, 0.22852873802185059, 0.2286994457244873, 0.23204493522644043, 0.22788190841674805, 0.22581720352172852, 0.2259528636932373, 0.22790837287902832, 0.22874855995178223, 0.22721362113952637, 0.22726798057556152, 0.24622201919555664, 0.22369623184204102, 0.22716331481933594, 0.22506165504455566, 0.22427105903625488, 0.22651886940002441, 0.22780275344848633]"
sgcn,1,0,9,0.29914501309394836,,,3.2738194465637207,0.25458788871765137,,3,0.2512948513031006,0.0032930374145507812,0.25458788871765137,"[0.10283398628234863, 0.1102290153503418, 0.10288858413696289, 0.10642409324645996, 0.10240626335144043, 0.10230469703674316, 0.10203790664672852, 0.1042323112487793, 0.10259318351745605, 0.10187578201293945, 0.10244083404541016, 0.10246849060058594, 0.10226106643676758, 0.10188984870910645, 0.1019449234008789, 0.10526180267333984, 0.10186028480529785, 0.1015012264251709, 0.10170435905456543, 0.10141110420227051, 0.10122919082641602, 0.10117387771606445, 0.10094642639160156, 0.10078954696655273, 0.1014556884765625, 0.10416793823242188, 0.10114479064941406, 0.10088992118835449, 0.10056066513061523, 0.10020089149475098, 0.10010743141174316, 0.10058331489562988]","[0.01651763916015625, 0.016941547393798828, 0.0169374942779541, 0.017457008361816406, 0.016722917556762695, 0.016430139541625977, 0.016211509704589844, 0.016944169998168945, 0.016623735427856445, 0.016715526580810547, 0.016420364379882812, 0.016546249389648438, 0.016376495361328125, 0.016520023345947266, 0.015993118286132812, 0.021281719207763672, 0.01612067222595215, 0.016914844512939453, 0.01670074462890625, 0.016292810440063477, 0.0166318416595459, 0.016308069229125977, 0.016303062438964844, 0.016098499298095703, 0.016508817672729492, 0.020199298858642578, 0.016501665115356445, 0.016260623931884766, 0.01658797264099121, 0.016263246536254883, 0.01647353172302246, 0.016962289810180664]","[0.1092844009399414, 0.10951590538024902, 0.11114192008972168, 0.11101555824279785, 0.10797500610351562, 0.1101369857788086, 0.11076045036315918, 0.11108016967773438, 0.1105802059173584, 0.1094369888305664, 0.11053824424743652, 0.10883450508117676, 0.10903716087341309, 0.10889148712158203, 0.11173558235168457, 0.12475132942199707, 0.11122846603393555, 0.11020541191101074, 0.10771918296813965, 0.1080012321472168, 0.10868072509765625, 0.10836386680603027, 0.10916805267333984, 0.10855507850646973, 0.11029291152954102, 0.12635517120361328, 0.10811758041381836, 0.10739803314208984, 0.11086416244506836, 0.10999774932861328, 0.1141517162322998, 0.1108713150024414]","[0.2286360263824463, 0.23668646812438965, 0.23096799850463867, 0.23489665985107422, 0.22710418701171875, 0.22887182235717773, 0.22900986671447754, 0.23225665092468262, 0.2297971248626709, 0.2280282974243164, 0.2293994426727295, 0.22784924507141113, 0.2276747226715088, 0.22730135917663574, 0.2296736240386963, 0.2512948513031006, 0.22920942306518555, 0.2286214828491211, 0.22612428665161133, 0.22570514678955078, 0.22654175758361816, 0.2258458137512207, 0.22641754150390625, 0.22544312477111816, 0.228257417678833, 0.25072240829467773, 0.22576403617858887, 0.2245485782623291, 0.2280128002166748, 0.22646188735961914, 0.23073267936706543, 0.22841691970825195]"
sgcn,1,0,10,0.29815460927784443,0.6972433576577094,0.6041804580049482,3.254934072494507,0.23653674125671387,3.23160457611084,3,0.2332465648651123,0.0032901763916015625,0.23653674125671387,"[0.10296869277954102, 0.1030278205871582, 0.1032247543334961, 0.1032404899597168, 0.10274934768676758, 0.10295772552490234, 0.10287904739379883, 0.1025702953338623, 0.10242152214050293, 0.10206246376037598, 0.10233235359191895, 0.10238099098205566, 0.10178947448730469, 0.10539102554321289, 0.10171675682067871, 0.10191035270690918, 0.10178184509277344, 0.1009221076965332, 0.1013185977935791, 0.10114884376525879, 0.10137820243835449, 0.10077381134033203, 0.1009371280670166, 0.10077810287475586, 0.10100412368774414, 0.10067081451416016, 0.10057473182678223, 0.10022759437561035, 0.1000206470489502, 0.09996795654296875, 0.09998941421508789, 0.09981703758239746]","[0.016462326049804688, 0.016633033752441406, 0.01641845703125, 0.01659226417541504, 0.016477108001708984, 0.016401052474975586, 0.01681065559387207, 0.0162045955657959, 0.0161283016204834, 0.016230106353759766, 0.016494035720825195, 0.016758441925048828, 0.016567230224609375, 0.01686239242553711, 0.016331195831298828, 0.016602516174316406, 0.01642322540283203, 0.017421245574951172, 0.01723480224609375, 0.016434669494628906, 0.01635265350341797, 0.016678810119628906, 0.016477584838867188, 0.01668071746826172, 0.016775846481323242, 0.0166323184967041, 0.016858339309692383, 0.016873598098754883, 0.016509532928466797, 0.016331911087036133, 0.016485929489135742, 0.016443490982055664]","[0.11152458190917969, 0.10852384567260742, 0.1083381175994873, 0.1112973690032959, 0.10856270790100098, 0.10837745666503906, 0.11074423789978027, 0.11050677299499512, 0.10739922523498535, 0.10801315307617188, 0.10818982124328613, 0.11387133598327637, 0.10911154747009277, 0.1109931468963623, 0.10742902755737305, 0.10675477981567383, 0.10714221000671387, 0.10683703422546387, 0.1068716049194336, 0.11010885238647461, 0.1077127456665039, 0.10874390602111816, 0.10949373245239258, 0.11087846755981445, 0.11038374900817871, 0.10789108276367188, 0.10742783546447754, 0.10845017433166504, 0.10802507400512695, 0.11008310317993164, 0.10649490356445312, 0.11030244827270508]","[0.2309556007385254, 0.22818470001220703, 0.2279813289642334, 0.23113012313842773, 0.22778916358947754, 0.227736234664917, 0.23043394088745117, 0.22928166389465332, 0.22594904899597168, 0.22630572319030762, 0.22701621055603027, 0.23301076889038086, 0.22746825218200684, 0.2332465648651123, 0.22547698020935059, 0.22526764869689941, 0.22534728050231934, 0.22518038749694824, 0.22542500495910645, 0.2276923656463623, 0.22544360160827637, 0.2261965274810791, 0.22690844535827637, 0.22833728790283203, 0.2281637191772461, 0.22519421577453613, 0.22486090660095215, 0.22555136680603027, 0.22455525398254395, 0.22638297080993652, 0.22297024726867676, 0.2265629768371582]"
