method,run_id,seed,best_val_auc,best_test_auc,final_val_auc,final_test_auc,mean_train_sampling_time,mean_train_epoch_time,mean_eval_time,total_run_time
sgcn,1,0,0.7373033793418349,0.6562437482893204,0.7272409400476801,0.6416756705752642,0.8255342590808868,1.7580058157444,2.3681137681007387,652.8060066699982
sgcn,2,1,0.7390328324332555,0.6665358287787043,0.7373329348650642,0.6495646096268121,0.8263423490524292,1.7579909837245942,2.388671863079071,653.8902611732483
sgcn,3,2,0.7357941767833566,0.6557319109492511,0.7350963590517235,0.6611251649947729,0.8263284540176392,1.7574419569969177,2.386880248785019,653.7331619262695
