method,run_id,seed,epoch,train_loss,val_auc,test_auc,train_sampling_time,train_epoch_time,eval_time
sage,1,0,1,0.46997192848905284,,,0.8755266666412354,2.9052600860595703,
sage,1,0,2,0.32979691186794763,,,0.8279852867126465,2.683213710784912,
sage,1,0,3,0.3136287101462005,,,0.8400661945343018,2.683166980743408,
sage,1,0,4,0.30344476081336036,,,0.8419020175933838,2.7138800621032715,
sage,1,0,5,0.29766385148055974,0.7786825452590822,0.7207496210196945,0.8602402210235596,2.734748125076294,2.303370475769043
sage,1,0,6,0.2929586302689243,,,0.8632211685180664,2.7247064113616943,
sage,1,0,7,0.28948037221758205,,,0.8508751392364502,2.7050814628601074,
sage,1,0,8,0.28628172932418283,,,0.837338924407959,2.708582878112793,
sage,1,0,9,0.2831607219027678,,,0.8395798206329346,2.7151477336883545,
sage,1,0,10,0.28094893270383403,0.8060417625317876,0.7594145665070485,0.8572485446929932,2.6655874252319336,2.3389225006103516
sage,1,0,11,0.2786222929337639,,,0.9301900863647461,2.764705181121826,
sage,1,0,12,0.2757240018867423,,,0.8198013305664062,2.6425461769104004,
sage,1,0,13,0.2733770062809918,,,0.8365960121154785,2.6838603019714355,
sage,1,0,14,0.27086344304294135,,,0.8660876750946045,2.6884407997131348,
sage,1,0,15,0.2695034844108297,0.8223945266788389,0.7680918527024678,0.8533425331115723,2.6978113651275635,2.3071022033691406
sage,1,0,16,0.26753259412703045,,,0.8838694095611572,2.770357370376587,
sage,1,0,17,0.2658104707490121,,,0.8167233467102051,2.640160083770752,
sage,1,0,18,0.2651309058331498,,,0.815908670425415,2.7094039916992188,
sage,1,0,19,0.26321506313418375,,,0.8488993644714355,2.7021634578704834,
sage,1,0,20,0.2617712966494532,0.8283890567265765,0.7742609417924543,0.9074385166168213,2.746831178665161,2.3477962017059326
sage,1,0,21,0.26037481983782085,,,0.8407268524169922,2.713624954223633,
sage,1,0,22,0.25938451195410295,,,0.8080565929412842,2.637636661529541,
sage,1,0,23,0.25952140335317236,,,0.873908519744873,2.69089937210083,
sage,1,0,24,0.25818009442737205,,,0.8551371097564697,2.70947003364563,
sage,1,0,25,0.2573380236719587,0.8335862777050408,0.785717178682071,0.8206453323364258,2.6690218448638916,2.3197972774505615
sage,1,0,26,0.2562718299932322,,,0.8304758071899414,2.701751947402954,
sage,1,0,27,0.2560842401266888,,,0.9265336990356445,2.833378314971924,
sage,1,0,28,0.25529371271475393,,,0.823458194732666,2.7329201698303223,
sage,1,0,29,0.2548174334798763,,,0.8717386722564697,2.7622616291046143,
sage,1,0,30,0.2540219152467385,0.8297485051797864,0.77692536534059,0.9089884757995605,2.732738733291626,2.313129186630249
sage,1,0,31,0.2544366051244494,,,0.8556873798370361,2.703509569168091,
sage,1,0,32,0.25356873262729396,,,0.8308334350585938,2.6903743743896484,
sage,1,0,33,0.25312288732730387,,,0.8470489978790283,2.6726150512695312,
sage,1,0,34,0.25287386696054515,,,0.855424165725708,2.6596436500549316,
