method,run_id,seed,epoch,train_loss,val_auc,test_auc,train_sampling_time,train_epoch_time,eval_time
gcn,1,0,1,0.488352175367915,,,0.9072186946868896,2.9745450019836426,
gcn,1,0,2,0.34186154022974724,,,0.8495233058929443,2.7858498096466064,
gcn,1,0,3,0.3266063678866589,,,0.8434135913848877,2.7485642433166504,
gcn,1,0,4,0.3174505538115176,,,0.881403923034668,2.789228677749634,
gcn,1,0,5,0.3130715029861499,0.7291373923032747,0.6285688488172088,0.843940258026123,2.7532646656036377,2.387085199356079
gcn,1,0,6,0.3098851592864242,,,0.8503625392913818,2.7808167934417725,
gcn,1,0,7,0.3072342531378754,,,0.8911597728729248,2.805351495742798,
gcn,1,0,8,0.3049540202354837,,,0.8614442348480225,2.7499232292175293,
gcn,1,0,9,0.3033715536332931,,,0.8259904384613037,2.70015025138855,
gcn,1,0,10,0.3013170358157372,0.7657403312071265,0.6914957598717499,0.8410036563873291,2.7623465061187744,2.377183437347412
gcn,1,0,11,0.2990755077948766,,,0.8401787281036377,2.7758052349090576,
gcn,1,0,12,0.29666486932330216,,,0.835655689239502,2.7069907188415527,
gcn,1,0,13,0.2952099831261942,,,0.8399355411529541,2.712739944458008,
gcn,1,0,14,0.29280814116519616,,,0.8362321853637695,2.744642734527588,
gcn,1,0,15,0.29093133035203106,0.783068472656462,0.7041282882080516,0.8394544124603271,2.709801435470581,2.327470541000366
gcn,1,0,16,0.2891774326340961,,,0.8783867359161377,2.753410577774048,
gcn,1,0,17,0.2881356133210758,,,0.858494758605957,2.7185544967651367,
gcn,1,0,18,0.2863798163492591,,,0.8766007423400879,2.8179006576538086,
gcn,1,0,19,0.28571508652123273,,,0.8436694145202637,2.7086341381073,
gcn,1,0,20,0.28555887938474744,0.7815255359561102,0.7031284449397353,0.8267440795898438,2.7494029998779297,2.377635955810547
gcn,1,0,21,0.2837827495000494,,,0.8420562744140625,2.737492322921753,
gcn,1,0,22,0.2830177468708078,,,0.8590798377990723,2.6686851978302,
gcn,1,0,23,0.28200494217251104,,,0.8616194725036621,2.751413583755493,
gcn,1,0,24,0.2816548383252171,,,0.8454785346984863,2.7217893600463867,
gcn,1,0,25,0.28185946983537113,0.786518676967706,0.7253161225810009,0.8742716312408447,2.770319938659668,2.3037850856781006
