method,run_id,seed,best_val_auc,best_test_auc,final_val_auc,final_test_auc,mean_train_sampling_time,mean_train_epoch_time,mean_eval_time,total_run_time
gcn,1,0,0.8137044959172954,0.7306853448150974,0.8135304393859573,0.734405223959187,0.8579663133621216,2.754712715148926,2.3672533571720122,863.2447493076324
gcn,2,1,0.8156818950172707,0.7305062985395476,0.805849886898285,0.7372799844566125,0.8515162146091462,2.744625982046127,2.3717967748641966,859.9961783885956
gcn,3,2,0.8163237969571276,0.7446831456443553,0.8074989110502034,0.7175728980659742,0.853721890449524,2.7586154663562774,2.3629126965999605,863.8185124397278
